nta,violation_count,violation_lead,violation_mold,violation_pests,violation_heat,violation_health_total,violation_severity_score,violation_class_A,violation_class_B,violation_class_C,violation_class_I,complaint_count,problem_count,complaint_heat,complaint_mold,complaint_pests,complaint_lead,complaint_water,complaint_health_total,complaint_severity_score,nta_code,borough,building_count,violation_per_bldg,violation_health_per_bldg,complaint_per_bldg,complaint_health_per_bldg,violation_per_bldg_pctl,complaint_per_bldg_pctl,violation_health_per_bldg_pctl,complaint_health_per_bldg_pctl,asthma_rate_per_10k,lead_rate_per_1k,asthma_pctl,lead_pctl,total_units,pct_pre_1950,pct_pre_1978,avg_building_age,median_year_built,median_income,pct_white,pct_black,pct_hispanic,building_age_score,income_adjustment,complaint_health_adjusted,complaints_score_adjusted,asthma_match,asthma_match_score,lead_match,lead_match_score,violations_score,complaints_score,asthma_score,lead_score,housing_health_index,risk_tier,index_rank
Springfield Gardens (North)-Rochdale Village,6272.0,96.0,417.0,2510.0,512.0,3237.0,11105.0,1111.0,2417.0,1208.0,1536.0,3094.0,5074.0,1569.0,384.0,562.0,402.0,2454.0,3802.0,5074.0,QN1204,Queens,474.0,13.232067510548523,6.829113924050633,6.527426160337553,8.021097046413502,28.71287128712871,42.57425742574257,26.732673267326735,43.06930693069307,276.8557894736842,8.1,69.79695431472082,26.096491228070175,1750.0,44.4206008583691,66.95278969957081,65.59871244635193,1950.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,16.08040201005025,1.0,8.021097046413502,42.5,Springfield Gardens South-Brookville,0.75,Springfield Gardens South-Brookville,0.75,26.732673267326735,42.5,69.79695431472082,26.096491228070175,38.12670672835774,Moderate Risk,174
East Williamsburg,28165.0,533.0,800.0,12328.0,1402.0,14372.0,46164.0,10768.0,7833.0,5083.0,4481.0,9170.0,14846.0,4376.0,867.0,1101.0,1066.0,6930.0,9964.0,14846.0,BK0104,Brooklyn,1912.0,14.730648535564852,7.51673640167364,4.796025104602511,5.2112970711297075,38.11881188118812,28.217821782178216,37.12871287128713,25.247524752475247,252.36208791208796,10.1,63.70558375634518,34.42982456140351,18868.0,74.30406852248393,75.2676659528908,83.02194860813705,1928.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,26.633165829145728,0.9665983064861458,5.391378234536976,25.5,East Williamsburg,1.0,East Williamsburg,1.0,37.12871287128713,25.5,63.70558375634518,34.42982456140351,38.082520879780276,Moderate Risk,175
South Williamsburg,17260.0,442.0,160.0,11345.0,393.0,12142.0,23716.0,7376.0,2590.0,1933.0,5361.0,1657.0,2645.0,810.0,112.0,211.0,263.0,1236.0,1822.0,2645.0,BK0103,Brooklyn,1255.0,13.752988047808763,9.674900398406374,1.3203187250996016,1.451792828685259,34.65346534653465,1.98019801980198,59.4059405940594,1.98019801980198,252.36208791208796,10.1,63.70558375634518,34.42982456140351,10160.0,70.02457002457002,71.007371007371,87.05814905814906,1920.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,19.597989949748744,0.9665983064861458,1.5019608651735907,1.0,East Williamsburg,0.8571428571428571,East Williamsburg,0.8571428571428571,59.4059405940594,1.0,63.70558375634518,34.42982456140351,37.93717160867226,Moderate Risk,176
North Corona,17100.0,375.0,424.0,9563.0,584.0,10603.0,26847.0,6263.0,3661.0,3043.0,4133.0,2984.0,5769.0,1243.0,327.0,760.0,531.0,2125.0,3743.0,5769.0,QN0303,Queens,1276.0,13.401253918495298,8.309561128526646,2.3385579937304075,2.933385579937304,29.7029702970297,4.9504950495049505,43.56435643564357,7.425742574257425,175.81882352941176,17.8,51.776649746192895,80.04385964912281,6398.0,53.25914149443561,56.43879173290938,64.85055643879173,1931.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,8.040201005025125,1.0,2.933385579937304,6.0,North Corona,1.0,North Corona,1.0,43.56435643564357,6.0,51.776649746192895,80.04385964912281,37.735235927802584,Moderate Risk,177
Woodside,16796.0,713.0,389.0,8243.0,568.0,9403.0,27990.0,5927.0,4170.0,3512.0,3187.0,4962.0,7392.0,2955.0,268.0,845.0,564.0,3935.0,5612.0,7392.0,QN0203,Queens,1222.0,13.74468085106383,7.694762684124386,4.060556464811784,4.5924713584288055,34.15841584158416,20.2970297029703,38.613861386138616,20.2970297029703,97.80866141732284,20.6,29.695431472081214,87.5,12047.0,51.93734542456719,71.55812036273701,70.9406430338005,1940.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,21.105527638190953,1.0,4.5924713584288055,19.5,Woodside,1.0,Woodside,1.0,38.613861386138616,19.5,29.695431472081218,87.5,37.63379747407692,Moderate Risk,178
Fresh Meadows-Utopia,2670.0,193.0,95.0,1286.0,73.0,1563.0,4385.0,974.0,709.0,503.0,484.0,1217.0,1767.0,661.0,146.0,143.0,144.0,883.0,1316.0,1767.0,QN0803,Queens,163.0,16.380368098159508,9.588957055214724,7.466257668711656,8.07361963190184,45.54455445544555,45.54455445544555,57.42574257425742,43.56435643564357,50.71612903225807,9.4,17.258883248730964,30.70175438596491,2741.0,22.22222222222222,60.49382716049383,54.858024691358025,1962.5,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,10.552763819095476,1.0,8.07361963190184,43.0,Fresh Meadows-Utopia,1.0,Fresh Meadows-Utopia,1.0,57.42574257425742,43.0,17.258883248730964,30.701754385964914,37.09003896182771,Moderate Risk,179
Astoria (North)-Ditmars-Steinway,20519.0,683.0,585.0,10622.0,857.0,12148.0,32878.0,7627.0,4909.0,3725.0,4258.0,6799.0,10176.0,3832.0,508.0,971.0,836.0,5137.0,7452.0,10176.0,QN0101,Queens,1654.0,12.405683192261185,7.344619105199516,4.110640870616687,4.505441354292624,24.752475247524753,20.792079207920793,33.663366336633665,19.8019801980198,100.97222222222224,13.8,31.218274111675125,57.23684210526315,11279.0,74.05602923264311,88.67235079171742,84.84043848964677,1931.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,66.33165829145729,1.0,4.505441354292624,19.0,Astoria,1.0,Astoria,1.0,33.663366336633665,19.0,31.218274111675125,57.23684210526315,36.311356868260326,Moderate Risk,180
West New Brighton-Silver Lake-Grymes Hill,7458.0,256.0,261.0,3173.0,430.0,3818.0,13139.0,1586.0,2743.0,1469.0,1660.0,3625.0,6289.0,1814.0,361.0,848.0,521.0,2727.0,4457.0,6289.0,SI0104,Staten Island,560.0,13.317857142857145,6.817857142857143,6.473214285714286,7.958928571428571,29.207920792079207,42.07920792079208,26.23762376237624,42.57425742574257,106.14090909090908,13.3,34.01015228426396,53.94736842105263,4859.0,64.91862567811934,76.67269439421338,80.9113924050633,1931.0,99458.0,66.45542993993297,9.842619061788795,18.620572186115428,30.65326633165829,1.0483217557530449,7.59206658428204,41.0,New Brighton-Silver Lake,0.7384615384615385,New Brighton-Silver Lake,0.7384615384615385,26.237623762376238,41.0,34.01015228426396,53.94736842105263,36.08074948188939,Moderate Risk,181
Baisley Park,10594.0,182.0,446.0,4899.0,648.0,5836.0,17953.0,1550.0,3685.0,1837.0,3522.0,4033.0,7593.0,1999.0,427.0,893.0,616.0,3289.0,5225.0,7593.0,QN1203,Queens,1045.0,10.1377990430622,5.584688995215311,3.85933014354067,5.0,13.861386138613865,18.316831683168317,9.405940594059404,24.257425742574256,290.37666666666667,12.3,72.84263959390863,48.026315789473685,2560.0,69.5945945945946,85.03861003861005,82.55984555984556,1930.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,54.2713567839196,1.0,5.0,23.5,Baisley Park,1.0,Baisley Park,1.0,9.405940594059405,23.5,72.84263959390863,48.026315789473685,35.89639314381256,Moderate Risk,182
Astoria (East)-Woodside (North),17118.0,511.0,303.0,8348.0,634.0,9419.0,27838.0,6560.0,4036.0,3342.0,3180.0,5286.0,8030.0,3072.0,339.0,740.0,641.0,4134.0,5854.0,8030.0,QN0104,Queens,1463.0,11.700615174299385,6.438140806561859,3.613123718386876,4.001367053998633,21.782178217821784,15.84158415841584,20.792079207920793,15.346534653465346,97.80866141732284,20.6,29.695431472081214,87.5,10979.0,80.05483207676491,89.37628512679919,87.80877313228238,1928.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,68.34170854271356,1.0,4.001367053998633,14.499999999999998,Woodside,0.6666666666666666,Woodside,0.6666666666666666,20.792079207920793,14.499999999999998,29.695431472081218,87.5,35.760880911063836,Moderate Risk,183
Park Slope,33497.0,564.0,517.0,19780.0,1447.0,21683.0,50023.0,13744.0,6822.0,4852.0,8079.0,8852.0,12880.0,4830.0,461.0,1104.0,940.0,6848.0,9353.0,12880.0,BK0602,Brooklyn,3102.0,10.798517085751127,6.990006447453256,2.8536428110896197,3.015151515151515,16.33663366336634,9.405940594059404,28.217821782178216,8.91089108910891,64.24012345679012,16.5,23.85786802030457,76.09649122807018,21041.0,94.73339875695126,95.0605168465816,114.17697088649004,1905.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,90.45226130653266,0.9665983064861458,3.11934284895701,8.0,Park Slope-Gowanus,1.0,Park Slope-Gowanus,1.0,28.217821782178216,8.0,23.85786802030457,76.09649122807018,35.69661995357817,Moderate Risk,184
Cambria Heights,1779.0,33.0,63.0,929.0,110.0,1073.0,2968.0,178.0,653.0,268.0,680.0,791.0,1475.0,365.0,79.0,145.0,101.0,580.0,905.0,1475.0,QN1304,Queens,218.0,8.160550458715596,4.922018348623853,3.628440366972477,4.151376146788991,8.415841584158416,16.33663366336634,6.9306930693069315,16.33663366336634,243.1555555555556,12.1,62.944162436548226,46.49122807017544,359.0,63.76146788990825,98.62385321100918,80.81192660550458,1945.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,98.99497487437183,1.0,4.151376146788991,16.0,Cambria Heights,1.0,Cambria Heights,1.0,6.9306930693069315,16.0,62.944162436548226,46.49122807017544,35.54122210606522,Moderate Risk,185
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,35503.0,384.0,773.0,21855.0,1505.0,23929.0,52018.0,14596.0,6891.0,4812.0,9204.0,6946.0,11591.0,3642.0,499.0,1014.0,911.0,5555.0,7979.0,11591.0,BK0601,Brooklyn,3140.0,11.306687898089171,7.620700636942675,2.2121019108280255,2.5410828025477707,19.306930693069308,3.4653465346534658,37.62376237623762,2.9702970297029703,137.59850746268657,11.6,44.67005076142132,41.66666666666667,18910.0,90.8678756476684,91.58031088082902,114.69268134715026,1900.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,78.39195979899498,0.9665983064861458,2.628892255962371,4.0,Carroll Gardens-Columbia Street-Red Hook,1.0,Carroll Gardens-Columbia Street-Red Hook,1.0,37.62376237623762,4.0,44.67005076142132,41.66666666666667,35.31033484505505,Moderate Risk,186
Upper West Side-Lincoln Square,8726.0,217.0,190.0,3077.0,502.0,3795.0,15851.0,2789.0,2709.0,2208.0,1020.0,5671.0,8512.0,2719.0,385.0,846.0,676.0,3914.0,5821.0,8512.0,MN0701,Manhattan,639.0,13.655712050078249,5.938967136150235,8.874804381846635,9.109546165884192,33.663366336633665,51.98019801980198,13.366336633663368,48.01980198019802,133.135593220339,7.9,43.90862944162436,22.36842105263158,38748.0,87.5,91.61392405063292,115.7231012658228,1894.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,78.89447236180904,1.089156951198049,8.363850734151665,44.5,Upper West Side,0.6666666666666666,Upper West Side,0.6666666666666666,13.366336633663368,44.5,43.90862944162436,22.36842105263158,35.16133727249952,Moderate Risk,187
Midtown South-Flatiron-Union Square,6603.0,111.0,119.0,2081.0,553.0,2777.0,12062.0,2178.0,1955.0,1752.0,718.0,4808.0,7107.0,2338.0,309.0,552.0,524.0,3621.0,5006.0,7107.0,MN0501,Manhattan,416.0,15.872596153846152,6.675480769230769,11.557692307692308,12.033653846153848,43.06930693069307,60.3960396039604,23.26732673267327,59.4059405940594,111.88571428571429,5.9,35.53299492385787,11.403508771929824,18242.0,82.52148997134671,85.38681948424069,106.62750716332378,1911.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,55.27638190954774,1.089156951198049,11.048594817227295,54.0,Midtown-Midtown South,1.0,Midtown-Midtown South,1.0,23.26732673267327,54.0,35.53299492385787,11.403508771929824,34.8249615113178,Moderate Risk,188
Greenpoint,26780.0,361.0,596.0,15718.0,1131.0,17250.0,39842.0,11447.0,5160.0,3951.0,6222.0,6958.0,10666.0,3475.0,523.0,826.0,792.0,5054.0,7195.0,10666.0,BK0101,Brooklyn,2537.0,10.555774536854551,6.7993693338588885,2.7426093811588492,2.836026803310997,15.84158415841584,7.920792079207921,25.742574257425744,5.9405940594059405,66.2,21.4,24.873096446700508,88.1578947368421,19672.0,89.00398406374502,89.7211155378486,98.62988047808764,1928.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,69.84924623115577,0.9665983064861458,2.934028317948068,6.5,Greenpoint,1.0,Greenpoint,1.0,25.742574257425744,6.5,24.873096446700508,88.1578947368421,34.53100040020972,Moderate Risk,189
Downtown Brooklyn-DUMBO-Boerum Hill,10007.0,111.0,221.0,4740.0,451.0,5383.0,16303.0,3727.0,2464.0,1916.0,1900.0,3949.0,5879.0,1803.0,249.0,903.0,365.0,2867.0,4384.0,5879.0,BK0202,Brooklyn,773.0,12.945666235446312,6.9637774902975424,5.1086675291073735,5.671410090556274,25.742574257425744,30.1980198019802,27.72277227722773,29.207920792079207,182.00344827586207,6.6,54.314720812182735,16.00877192982456,18867.0,85.1150202976996,85.52097428958051,112.26657645466848,1905.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,56.28140703517588,0.9665983064861458,5.867390882540888,28.499999999999996,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.6987951807228916,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.6987951807228916,27.722772277227726,28.499999999999996,54.314720812182735,16.00877192982456,34.33423233859614,Moderate Risk,190
East Flushing,6155.0,256.0,160.0,2712.0,227.0,3195.0,10582.0,1970.0,1695.0,1366.0,1124.0,3447.0,4968.0,2267.0,165.0,527.0,348.0,2873.0,3913.0,4968.0,QN0705,Queens,433.0,14.214780600461896,7.378752886836028,7.9607390300230945,9.036951501154734,36.633663366336634,48.51485148514851,34.15841584158416,47.02970297029702,116.03625,6.8,37.56345177664975,17.105263157894736,4297.0,45.707656612529,63.57308584686775,66.78886310904872,1955.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,14.07035175879397,1.0,9.036951501154734,47.5,East Flushing,1.0,East Flushing,1.0,34.15841584158416,47.5,37.56345177664975,17.105263157894736,33.60803975736881,Moderate Risk,191
Ozone Park,5433.0,92.0,189.0,3019.0,280.0,3433.0,8427.0,1777.0,1390.0,802.0,1464.0,1574.0,2824.0,818.0,141.0,380.0,233.0,1269.0,2023.0,2824.0,QN1002,Queens,478.0,11.366108786610878,7.182008368200837,3.292887029288703,4.2322175732217575,19.8019801980198,11.386138613861387,32.67326732673268,17.326732673267326,150.4289256198347,10.3,47.46192893401015,35.74561403508772,1624.0,58.22784810126582,81.22362869198312,76.35654008438819,1931.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,43.21608040201005,1.0,4.2322175732217575,17.0,Ozone Park,1.0,Ozone Park,1.0,32.67326732673268,17.0,47.46192893401015,35.74561403508772,33.227816130285994,Moderate Risk,192
Murray Hill-Kips Bay,10132.0,267.0,233.0,3546.0,624.0,4504.0,18158.0,3266.0,3102.0,2462.0,1302.0,6605.0,9485.0,3442.0,459.0,924.0,672.0,4992.0,7047.0,9485.0,MN0603,Manhattan,712.0,14.230337078651685,6.325842696629214,9.276685393258427,9.89747191011236,37.12871287128713,53.46534653465347,18.316831683168317,51.48514851485149,104.88727272727272,4.9,32.233502538071065,6.798245614035088,35099.0,79.9405646359584,91.2332838038633,100.93016344725112,1920.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,77.38693467336684,1.089156951198049,9.08727791639704,48.0,Murray Hill-Kips Bay,1.0,Murray Hill-Kips Bay,1.0,18.316831683168317,48.0,32.233502538071065,6.798245614035088,32.70018032200666,Moderate Risk,193
Fort Hamilton,13.0,0.0,0.0,13.0,0.0,13.0,13.0,9.0,0.0,0.0,4.0,41.0,69.0,21.0,3.0,8.0,7.0,30.0,48.0,69.0,BK1061,Brooklyn,2.0,6.5,6.5,20.5,24.0,4.455445544554455,76.73267326732673,21.782178217821784,76.23762376237624,53.6032,7.5,19.035532994923855,19.29824561403509,6.0,0.0,0.0,22.0,2003.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,1.0050251256281406,0.9665983064861458,24.82934207411007,76.5,Forest Hills,0.64,Forest Hills,0.64,21.782178217821784,76.5,19.035532994923855,19.298245614035086,32.46199941899938,Moderate Risk,194
Ozone Park (North),8974.0,299.0,155.0,5115.0,419.0,5694.0,14097.0,2745.0,2121.0,1501.0,2607.0,2133.0,3991.0,1004.0,169.0,567.0,326.0,1639.0,2701.0,3991.0,QN0904,Queens,759.0,11.823451910408432,7.5019762845849804,2.8102766798418974,3.5586297760210805,22.277227722772277,8.91089108910891,36.633663366336634,10.891089108910892,150.4289256198347,10.3,47.46192893401015,35.74561403508772,2246.0,71.78807947019867,79.0728476821192,83.08609271523179,1930.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,37.68844221105528,1.0,3.5586297760210805,10.5,Ozone Park,1.0,Ozone Park,1.0,36.633663366336634,10.5,47.46192893401015,35.74561403508772,32.23817112307171,Moderate Risk,195
West Village,12480.0,191.0,163.0,5222.0,683.0,6134.0,21246.0,4290.0,3342.0,2712.0,2136.0,6222.0,8797.0,3474.0,380.0,798.0,625.0,4597.0,6400.0,8797.0,MN0203,Manhattan,1053.0,11.851851851851851,5.825261158594492,5.908831908831909,6.077872744539412,22.772277227722775,37.62376237623762,11.88118811881188,32.17821782178218,28.54827586206897,17.8,1.015228426395939,80.04385964912281,19354.0,94.0096618357488,96.23188405797102,142.58260869565217,1885.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,94.47236180904522,1.089156951198049,5.58034609966349,26.5,West Village,1.0,West Village,1.0,11.881188118811881,26.5,1.015228426395939,80.04385964912281,31.846217249195696,Moderate Risk,196
Upper East Side-Lenox Hill-Roosevelt Island,15256.0,288.0,412.0,4047.0,1230.0,5711.0,29307.0,4438.0,5359.0,4346.0,1113.0,10413.0,15189.0,5538.0,746.0,1669.0,1055.0,7759.0,11229.0,15189.0,MN0801,Manhattan,883.0,17.277463193657983,6.467723669309173,11.792751981879954,12.71687429218573,48.51485148514851,61.88118811881188,21.287128712871286,60.89108910891089,42.49759036144579,5.1,8.629441624365482,8.333333333333332,43409.0,80.0,91.74418604651164,99.45348837209302,1910.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,79.89949748743719,1.089156951198049,11.67588773885843,57.49999999999999,Lenox Hill-Roosevelt Island,0.7714285714285715,Lenox Hill-Roosevelt Island,0.7714285714285715,21.287128712871286,57.49999999999999,8.629441624365482,8.333333333333332,31.7269766874782,Moderate Risk,197
Laurelton,3056.0,69.0,88.0,1649.0,230.0,1919.0,4996.0,376.0,856.0,542.0,1282.0,1348.0,2276.0,670.0,107.0,199.0,189.0,1059.0,1554.0,2276.0,QN1305,Queens,378.0,8.084656084656086,5.076719576719577,3.566137566137566,4.111111111111111,7.425742574257425,15.346534653465346,8.415841584158416,15.84158415841584,210.63877551020408,12.5,58.37563451776649,49.56140350877193,806.0,67.02127659574468,86.96808510638297,80.61702127659575,1935.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,61.80904522613066,1.0,4.111111111111111,15.5,Laurelton,1.0,Laurelton,1.0,8.415841584158416,15.5,58.37563451776649,49.56140350877193,31.689994427729676,Moderate Risk,198
Windsor Terrace-South Slope,10260.0,259.0,248.0,5221.0,448.0,5906.0,16746.0,3674.0,2492.0,1997.0,2097.0,3759.0,4951.0,2530.0,122.0,388.0,289.0,3063.0,3862.0,4951.0,BK0701,Brooklyn,765.0,13.411764705882351,7.720261437908497,4.913725490196079,5.048366013071895,30.1980198019802,29.207920792079207,39.6039603960396,24.752475247524753,42.9125,10.7,9.898477157360407,37.719298245614034,7139.0,84.32147562582345,86.29776021080369,94.03425559947298,1925.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,59.798994974874375,0.9665983064861458,5.222816943911388,24.5,Windsor Terrace,1.0,Windsor Terrace,1.0,39.603960396039604,24.5,9.898477157360407,37.719298245614034,31.623677784613506,Moderate Risk,199
Dyker Heights,18703.0,613.0,514.0,9886.0,604.0,11062.0,29372.0,7305.0,4599.0,3035.0,3764.0,3420.0,5981.0,1892.0,271.0,524.0,471.0,2740.0,4006.0,5981.0,BK1002,Brooklyn,1359.0,13.762325239146431,8.13980868285504,2.5165562913907285,2.9477557027225902,35.148514851485146,5.9405940594059405,41.089108910891085,7.920792079207921,43.65,11.4,11.16751269035533,41.22807017543859,6274.0,85.89364844903989,90.84194977843428,91.794682422452,1925.5,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,75.87939698492463,0.9665983064861458,3.0496181122419963,7.5,Dyker Heights,1.0,Dyker Heights,1.0,41.089108910891085,7.5,11.16751269035533,41.228070175438596,30.207385436146645,Moderate Risk,200
SoHo-Little Italy-Hudson Square,13153.0,298.0,180.0,4748.0,928.0,5940.0,23862.0,4217.0,3789.0,3460.0,1687.0,6157.0,8673.0,3794.0,334.0,700.0,520.0,4906.0,6460.0,8673.0,MN0201,Manhattan,845.0,15.56568047337278,7.029585798816568,7.286390532544378,7.644970414201183,41.089108910891085,45.04950495049505,29.7029702970297,41.584158415841586,44.88,4.9,11.928934010152284,6.798245614035088,12536.0,91.10012360939432,92.58343634116191,123.19159456118663,1900.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,82.41206030150754,1.089156951198049,7.019163221418072,38.5,SoHo-TriBeCa-Civic Center-Little Italy,1.0,SoHo-TriBeCa-Civic Center-Little Italy,1.0,29.7029702970297,38.5,11.928934010152284,6.798245614035088,30.182620763395384,Moderate Risk,201
Glen Oaks-Floral Park-New Hyde Park,603.0,20.0,18.0,344.0,31.0,389.0,968.0,121.0,137.0,114.0,231.0,406.0,522.0,224.0,27.0,36.0,31.0,285.0,379.0,522.0,QN1301,Queens,97.0,6.216494845360825,4.010309278350515,4.185567010309279,3.9072164948453607,2.9702970297029703,22.772277227722775,2.9702970297029703,14.85148514851485,43.13333333333334,17.9,10.65989847715736,81.14035087719299,2541.0,37.89473684210527,96.84210526315788,73.69473684210526,1950.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,96.4824120603015,1.0,3.9072164948453607,14.000000000000002,Glen Oaks-Floral Park-New Hyde Park,1.0,Glen Oaks-Floral Park-New Hyde Park,1.0,2.9702970297029703,14.000000000000002,10.65989847715736,81.14035087719299,28.34236264195146,Moderate Risk,202
Glendale,10119.0,339.0,204.0,5960.0,316.0,6501.0,15377.0,3769.0,2032.0,1613.0,2705.0,2333.0,4319.0,1119.0,220.0,502.0,355.0,1791.0,2868.0,4319.0,QN0503,Queens,1024.0,9.8818359375,6.3486328125,2.2783203125,2.80078125,12.376237623762377,4.455445544554455,19.8019801980198,5.445544554455446,106.58376068376069,11.7,34.51776649746193,42.76315789473684,4203.0,87.6470588235294,90.3921568627451,92.26372549019608,1930.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,74.37185929648241,1.0,2.80078125,5.0,Glendale,1.0,Glendale,1.0,19.801980198019802,5.0,34.51776649746193,42.76315789473684,27.945806972757094,Moderate Risk,203
Upper East Side-Yorkville,17849.0,382.0,446.0,5005.0,1246.0,6777.0,33618.0,5475.0,5965.0,4902.0,1507.0,11239.0,16339.0,5753.0,800.0,1989.0,1244.0,7924.0,11957.0,16339.0,MN0803,Manhattan,1093.0,16.33028362305581,6.200365965233303,10.282708142726442,10.939615736505033,45.04950495049505,57.42574257425742,16.33663366336634,54.45544554455446,29.257142857142856,4.8,2.030456852791878,5.263157894736842,38787.0,84.2300556586271,92.76437847866418,98.68274582560296,1920.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,83.91959798994975,1.089156951198049,10.044113223968036,52.5,Upper East Side-Carnegie Hill,0.7407407407407407,Upper East Side-Carnegie Hill,0.7407407407407407,16.33663366336634,52.5,2.030456852791878,5.263157894736842,27.61351495277378,Moderate Risk,204
Bellerose,1781.0,6.0,76.0,1009.0,88.0,1140.0,2778.0,363.0,523.0,237.0,658.0,824.0,1380.0,356.0,74.0,196.0,96.0,543.0,909.0,1380.0,QN1302,Queens,235.0,7.578723404255319,4.851063829787234,3.5063829787234044,3.868085106382978,5.9405940594059405,14.356435643564357,6.435643564356436,13.366336633663368,56.33111111111111,17.4,20.304568527918786,78.28947368421053,2051.0,41.02564102564102,88.88888888888889,72.51282051282051,1950.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,66.83417085427136,1.0,3.868085106382978,12.5,Bellerose,1.0,Bellerose,1.0,6.435643564356436,12.5,20.304568527918782,78.28947368421053,27.543444912949404,Moderate Risk,205
Rosedale,3909.0,62.0,167.0,1920.0,282.0,2273.0,6608.0,407.0,1385.0,657.0,1460.0,1676.0,3146.0,867.0,173.0,298.0,212.0,1467.0,2150.0,3146.0,QN1307,Queens,499.0,7.833667334669339,4.5551102204408815,3.3587174348697393,4.3086172344689375,6.435643564356436,11.88118811881188,5.445544554455446,17.82178217821782,254.56511627906977,7.9,64.46700507614213,22.36842105263158,970.0,29.6969696969697,83.43434343434343,68.32323232323232,1955.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,48.743718592964825,1.0,4.3086172344689375,17.5,Rosedale,1.0,Rosedale,1.0,5.445544554455446,17.5,64.46700507614213,22.36842105263158,27.131699398756282,Moderate Risk,206
East Midtown-Turtle Bay,7548.0,113.0,195.0,2648.0,486.0,3322.0,13477.0,2552.0,2243.0,1843.0,910.0,5806.0,7546.0,3757.0,307.0,656.0,356.0,4586.0,5905.0,7546.0,MN0604,Manhattan,571.0,13.21891418563923,5.8178633975481615,10.168126094570928,10.341506129597198,28.217821782178216,56.43564356435643,11.386138613861387,52.97029702970298,48.3,5.2,15.228426395939088,8.991228070175438,28632.0,71.48362235067437,89.59537572254335,94.30250481695568,1921.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,68.84422110552764,1.089156951198049,9.494964080449346,49.5,Turtle Bay-East Midtown,1.0,Turtle Bay-East Midtown,1.0,11.386138613861387,49.5,15.228426395939088,8.991228070175438,27.069633184425314,Moderate Risk,207
Springfield Gardens (South)-Brookville,3953.0,60.0,153.0,1970.0,287.0,2326.0,6594.0,474.0,1393.0,624.0,1462.0,1631.0,2833.0,854.0,164.0,306.0,201.0,1367.0,2038.0,2833.0,QN1306,Queens,462.0,8.556277056277056,5.034632034632034,3.5303030303030303,4.411255411255412,9.9009900990099,14.85148514851485,7.920792079207921,18.81188118811881,276.8557894736842,8.1,69.79695431472082,26.096491228070175,861.0,36.525612472160354,66.815144766147,63.224944320712694,1955.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,15.57788944723618,1.0,4.411255411255412,18.5,Springfield Gardens South-Brookville,0.9090909090909092,Springfield Gardens South-Brookville,0.9090909090909092,7.920792079207921,18.5,69.79695431472082,26.096491228070175,26.432891115640686,Moderate Risk,208
